Year,Month,Region,Model,Units_Sold,Avg_Price_EUR,Revenue_EUR,BEV_Share,Premium_Share,GDP_Growth,Fuel_Price_Index,Calculated_Revenue,Date,Quarter,Revenue_per_unit,Sales_Lag_1,Sales_Lag_3,Sales_Lag_6,Sales_Rolling_3,Sales_Rolling_6,Sales_Growth,EV_Demand_Index
2018,1,USA,X7,7387,91698,677373126,0.026,20.49,0.82,0.97,677373126,2018-01-01,1,91698.0,10624.0,10121.0,7498.0,8342.666666666666,7193.833333333333,-0.3046875,0.02522
2018,1,USA,iX,8249,73502,606317998,0.011,20.49,0.82,0.97,606317998,2018-01-01,1,73502.0,7387.0,7017.0,3209.0,8753.333333333334,8033.833333333333,0.11669148504128879,0.010669999999999999
2018,1,RestOfWorld,X5,6638,67206,446113428,0.012,6.28,4.18,0.97,446113428,2018-01-01,1,67206.0,8249.0,10624.0,4805.0,7424.666666666667,8339.333333333334,-0.19529639956358347,0.01164
2018,1,USA,i4,7972,66561,530624292,0.029,20.49,0.82,0.97,530624292,2018-01-01,1,66561.0,6638.0,7387.0,10121.0,7619.666666666667,7981.166666666667,0.20096414582705635,0.028130000000000002
2018,1,RestOfWorld,X7,7252,93762,679962024,0.018,6.28,4.18,0.97,679962024,2018-01-01,1,93762.0,7972.0,8249.0,7017.0,7287.333333333333,8020.333333333333,-0.09031610637230303,0.01746
2018,1,RestOfWorld,i4,3194,65790,210133260,0.01,6.28,4.18,0.97,210133260,2018-01-01,1,65790.0,7252.0,6638.0,10624.0,6139.333333333333,6782.0,-0.5595697738554881,0.0097
2018,1,RestOfWorld,iX,9412,74757,703612884,0.021,6.28,4.18,0.97,703612884,2018-01-01,1,74757.0,3194.0,7972.0,7387.0,6619.333333333333,7119.5,1.9467752035065748,0.02037
2018,1,RestOfWorld,MINI,9570,42278,404600460,0.0,6.28,4.18,0.97,404600460,2018-01-01,1,42278.0,9412.0,7252.0,8249.0,7392.0,7339.666666666667,0.01678708032299192,0.0
2018,1,USA,3 Series,9622,46337,445854614,0.01,20.49,0.82,0.97,445854614,2018-01-01,1,46337.0,9570.0,3194.0,6638.0,9534.666666666666,7837.0,0.005433646812957216,0.0097
2018,1,RestOfWorld,5 Series,6023,61028,367571644,0.031,6.28,4.18,0.97,367571644,2018-01-01,1,61028.0,9622.0,9412.0,7972.0,8405.0,7512.166666666667,-0.3740386614009561,0.03007
2018,2,Europe,MINI,5935,43296,256961760,0.008,15.6,4.48,0.98,256961760,2018-02-01,1,43296.0,6023.0,9570.0,7252.0,7193.333333333333,7292.666666666667,-0.014610659139963511,0.00784
2018,2,Europe,X7,9397,92680,870913960,0.028,15.6,4.48,0.98,870913960,2018-02-01,1,92680.0,5935.0,9622.0,3194.0,7118.333333333333,8326.5,0.5833192923336141,0.02744
2018,2,Europe,i4,7945,64282,510720490,0.007,15.6,4.48,0.98,510720490,2018-02-01,1,64282.0,9397.0,6023.0,9412.0,7759.0,8082.0,-0.1545173991699479,0.00686
2018,2,Europe,5 Series,4933,60795,299901735,0.029,15.6,4.48,0.98,299901735,2018-02-01,1,60795.0,7945.0,5935.0,9570.0,7425.0,7309.166666666667,-0.37910635619886723,0.02842
2018,2,Europe,X3,5820,57663,335598660,0.03,15.6,4.48,0.98,335598660,2018-02-01,1,57663.0,4933.0,9397.0,9622.0,6232.666666666667,6675.5,0.1798094465842286,0.0294
2018,2,Europe,X5,7687,70302,540411474,0.018,15.6,4.48,0.98,540411474,2018-02-01,1,70302.0,5820.0,7945.0,6023.0,6146.666666666667,6952.833333333333,0.3207903780068728,0.01764
2018,2,Europe,iX,9524,73317,698271108,0.021,15.6,4.48,0.98,698271108,2018-02-01,1,73317.0,7687.0,4933.0,5935.0,7677.0,7551.0,0.2389748926759463,0.02058
2018,2,China,iX,9397,74076,696092172,0.034,20.6,2.66,0.98,696092172,2018-02-01,1,74076.0,9524.0,5820.0,9397.0,8869.333333333334,7551.0,-0.013334733305333857,0.03332
2018,2,China,3 Series,3795,47520,180338400,0.011,20.6,2.66,0.98,180338400,2018-02-01,1,47520.0,9397.0,7687.0,7945.0,7572.0,6859.333333333333,-0.596147706714909,0.01078
2018,2,China,5 Series,8630,60563,522658690,0.034,20.6,2.66,0.98,522658690,2018-02-01,1,60563.0,3795.0,9524.0,4933.0,7274.0,7475.5,1.2740447957839263,0.03332
2018,2,China,X3,3601,59184,213121584,0.02,20.6,2.66,0.98,213121584,2018-02-01,1,59184.0,8630.0,9397.0,5820.0,5342.0,7105.666666666667,-0.5827346465816918,0.0196
2018,2,China,X5,3929,70696,277764584,0.003,20.6,2.66,0.98,277764584,2018-02-01,1,70696.0,3601.0,3795.0,7687.0,5386.666666666667,6479.333333333333,0.09108580949736189,0.00294
2018,2,China,X7,3038,91589,278247382,0.021,20.6,2.66,0.98,278247382,2018-02-01,1,91589.0,3929.0,8630.0,9524.0,3522.6666666666665,5398.333333333333,-0.22677526088063116,0.02058
2018,2,Europe,3 Series,5374,47597,255786278,0.023,15.6,4.48,0.98,255786278,2018-02-01,1,47597.0,3038.0,3601.0,9397.0,4113.666666666667,4727.833333333333,0.7689269256089533,0.022539999999999998
2018,2,China,MINI,3996,42777,170936892,0.031,20.6,2.66,0.98,170936892,2018-02-01,1,42777.0,5374.0,3929.0,3795.0,4136.0,4761.333333333333,-0.2564197990323781,0.03038
2018,2,China,i4,3186,64759,206322174,0.045,20.6,2.66,0.98,206322174,2018-02-01,1,64759.0,3996.0,3038.0,8630.0,4185.333333333333,3854.0,-0.20270270270270274,0.0441
2018,2,USA,5 Series,2562,63029,161480298,0.034,15.66,4.14,1.02,161480298,2018-02-01,1,63029.0,3186.0,5374.0,3601.0,3248.0,3680.8333333333335,-0.19585687382297556,0.03468
2018,2,USA,X3,4208,59272,249416576,0.025,15.66,4.14,1.02,249416576,2018-02-01,1,59272.0,2562.0,3996.0,3929.0,3318.6666666666665,3727.3333333333335,0.6424668227946917,0.025500000000000002
2018,2,RestOfWorld,MINI,6649,42199,280581151,0.011,6.87,2.08,1.05,280581151,2018-02-01,1,42199.0,4208.0,3186.0,3038.0,4473.0,4329.166666666667,0.5800855513307985,0.01155
2018,2,USA,iX,4261,74734,318441574,0.015,15.66,4.14,1.02,318441574,2018-02-01,1,74734.0,6649.0,2562.0,5374.0,5039.333333333333,4143.666666666667,-0.3591517521431794,0.0153
2018,2,USA,MINI,4125,40488,167013000,0.031,15.66,4.14,1.02,167013000,2018-02-01,1,40488.0,4261.0,4208.0,3996.0,5011.666666666667,4165.166666666667,-0.03191739028397089,0.03162
2018,2,USA,X5,11247,67186,755640942,0.025,15.66,4.14,1.02,755640942,2018-02-01,1,67186.0,4125.0,6649.0,3186.0,6544.333333333333,5508.666666666667,1.7265454545454544,0.025500000000000002
2018,2,USA,X7,4760,93002,442689520,0.021,15.66,4.14,1.02,442689520,2018-02-01,1,93002.0,11247.0,4261.0,2562.0,6710.666666666667,5875.0,-0.5767760291633324,0.02142
2018,2,USA,i4,8593,64369,553122817,0.015,15.66,4.14,1.02,553122817,2018-02-01,1,64369.0,4760.0,4125.0,4208.0,8200.0,6605.833333333333,0.8052521008403362,0.0153
2018,2,RestOfWorld,3 Series,6874,47969,329738906,0.032,6.87,2.08,1.05,329738906,2018-02-01,1,47969.0,8593.0,11247.0,6649.0,6742.333333333333,6643.333333333333,-0.2000465495170488,0.033600000000000005
2018,2,USA,3 Series,10885,49681,540777685,0.019,15.66,4.14,1.02,540777685,2018-02-01,1,49681.0,6874.0,4760.0,4261.0,8784.0,7747.333333333333,0.5835030549898168,0.01938
2018,2,RestOfWorld,X3,2623,57016,149552968,0.03,6.87,2.08,1.05,149552968,2018-02-01,1,57016.0,10885.0,8593.0,4125.0,6794.0,7497.0,-0.759026182820395,0.0315
2018,2,RestOfWorld,X5,4321,69944,302228024,0.025,6.87,2.08,1.05,302228024,2018-02-01,1,69944.0,2623.0,6874.0,11247.0,5943.0,6342.666666666667,0.6473503621807091,0.026250000000000002
2018,2,RestOfWorld,X7,7526,91183,686243258,0.021,6.87,2.08,1.05,686243258,2018-02-01,1,91183.0,4321.0,10885.0,4760.0,4823.333333333333,6803.666666666667,0.7417264522101366,0.022050000000000004
2018,2,RestOfWorld,i4,9175,65056,596888800,0.025,6.87,2.08,1.05,596888800,2018-02-01,1,65056.0,7526.0,2623.0,8593.0,7007.333333333333,6900.666666666667,0.2191070954026042,0.026250000000000002
2018,2,RestOfWorld,iX,9405,74154,697418370,0.033,6.87,2.08,1.05,697418370,2018-02-01,1,74154.0,9175.0,4321.0,6874.0,8702.0,7322.5,0.0250681198910081,0.03465
2018,2,RestOfWorld,5 Series,7632,63369,483632208,0.029,6.87,2.08,1.05,483632208,2018-02-01,1,63369.0,9405.0,7526.0,10885.0,8737.333333333334,6780.333333333333,-0.1885167464114833,0.03045
2018,3,Europe,X7,11937,90815,1084058655,0.02,19.96,3.92,0.99,1084058655,2018-03-01,1,90815.0,7632.0,9175.0,2623.0,9658.0,8332.666666666666,0.5640723270440251,0.0198
2018,3,Europe,i4,7135,64527,460400145,0.016,19.96,3.92,0.99,460400145,2018-03-01,1,64527.0,11937.0,9405.0,4321.0,8901.333333333334,8801.666666666666,-0.4022786294713915,0.01584
2018,3,Europe,iX,9366,73639,689702874,0.029,19.96,3.92,0.99,689702874,2018-03-01,1,73639.0,7135.0,7632.0,7526.0,9479.333333333334,9108.333333333334,0.3126839523475824,0.028710000000000003
2018,3,Europe,3 Series,4562,47884,218446808,0.023,19.96,3.92,0.99,218446808,2018-03-01,1,47884.0,9366.0,11937.0,9175.0,7021.0,8339.5,-0.5129190689728806,0.02277
2018,3,China,X3,8132,57504,467622528,0.034,15.71,1.63,0.98,467622528,2018-03-01,1,57504.0,4562.0,7135.0,9405.0,7353.333333333333,8127.333333333333,0.7825515124945199,0.03332
2018,3,Europe,X3,8220,59791,491482020,0.039,19.96,3.92,0.99,491482020,2018-03-01,1,59791.0,8132.0,9366.0,7632.0,6971.333333333333,8225.333333333334,0.010821446138711277,0.03861
2018,3,China,X7,11201,90016,1008269216,0.02,15.71,1.63,0.98,1008269216,2018-03-01,1,90016.0,8220.0,4562.0,11937.0,9184.333333333334,8102.666666666667,0.3626520681265206,0.0196
2018,3,China,X5,11545,67815,782924175,0.032,15.71,1.63,0.98,782924175,2018-03-01,1,67815.0,11201.0,8132.0,7135.0,10322.0,8837.666666666666,0.030711543612177428,0.03136
2018,3,Europe,X5,3801,68704,261143904,0.025,19.96,3.92,0.99,261143904,2018-03-01,1,68704.0,11545.0,8220.0,9366.0,8849.0,7910.166666666667,-0.6707665656128194,0.02475
2018,3,China,i4,10822,64243,695237746,0.019,15.71,1.63,0.98,695237746,2018-03-01,1,64243.0,3801.0,11201.0,4562.0,8722.666666666666,8953.5,1.847145488029466,0.018619999999999998
2018,3,China,MINI,3416,43170,147468720,0.027,15.71,1.63,0.98,147468720,2018-03-01,1,43170.0,10822.0,11545.0,8132.0,6013.0,8167.5,-0.684346701164295,0.02646
2018,3,China,3 Series,6529,48074,313875146,0.029,15.71,1.63,0.98,313875146,2018-03-01,1,48074.0,3416.0,3801.0,8220.0,6922.333333333333,7885.666666666667,0.9112997658079625,0.02842
2018,3,Europe,MINI,7760,40954,317803040,0.03,19.96,3.92,0.99,317803040,2018-03-01,1,40954.0,6529.0,10822.0,11201.0,5901.666666666667,7312.166666666667,0.1885434216572217,0.029699999999999997
2018,3,Europe,5 Series,6007,61919,371947433,0.013,19.96,3.92,0.99,371947433,2018-03-01,1,61919.0,7760.0,3416.0,11545.0,6765.333333333333,6389.166666666667,-0.22590206185567008,0.01287
2018,3,China,iX,5175,73180,378706500,0.019,15.71,1.63,0.98,378706500,2018-03-01,1,73180.0,6007.0,6529.0,3801.0,6314.0,6618.166666666667,-0.13850507740968865,0.018619999999999998
2018,3,China,5 Series,2997,63348,189853956,0.02,15.71,1.63,0.98,189853956,2018-03-01,1,63348.0,5175.0,7760.0,10822.0,4726.333333333333,5314.0,-0.4208695652173913,0.0196
2018,3,USA,3 Series,6483,47758,309615114,0.022,15.88,2.05,0.98,309615114,2018-03-01,1,47758.0,2997.0,6007.0,3416.0,4885.0,5825.166666666667,1.1631631631631634,0.02156
2018,3,USA,i4,3612,66175,239024100,0.009,15.88,2.05,0.98,239024100,2018-03-01,1,66175.0,6483.0,5175.0,6529.0,4364.0,5339.0,-0.44285053216103654,0.00882
2018,3,USA,iX,11655,76110,887062050,0.024,15.88,2.05,0.98,887062050,2018-03-01,1,76110.0,3612.0,2997.0,7760.0,7250.0,5988.166666666667,2.2267441860465116,0.02352
2018,3,RestOfWorld,3 Series,12337,49847,614962439,0.008,6.73,3.52,1.02,614962439,2018-03-01,1,49847.0,11655.0,6483.0,6007.0,9201.333333333334,7043.166666666667,0.05851565851565854,0.00816
2018,3,RestOfWorld,X5,3688,67050,247280400,0.04,6.73,3.52,1.02,247280400,2018-03-01,1,67050.0,12337.0,3612.0,5175.0,9226.666666666666,6795.333333333333,-0.701061846478074,0.0408
2018,3,USA,X3,8736,59359,518560224,0.011,15.88,2.05,0.98,518560224,2018-03-01,1,59359.0,3688.0,11655.0,2997.0,8253.666666666666,7751.833333333333,1.3687635574837311,0.01078
2018,3,RestOfWorld,i4,11009,65352,719460168,0.024,6.73,3.52,1.02,719460168,2018-03-01,1,65352.0,8736.0,12337.0,6483.0,7811.0,8506.166666666666,0.260187728937729,0.024480000000000002
2018,3,RestOfWorld,X7,6895,92361,636829095,0.002,6.73,3.52,1.02,636829095,2018-03-01,1,92361.0,11009.0,3688.0,3612.0,8880.0,9053.333333333334,-0.37369425015896085,0.00204
2018,3,USA,X7,4604,91409,420847036,0.021,15.88,2.05,0.98,420847036,2018-03-01,1,91409.0,6895.0,8736.0,11655.0,7502.666666666667,7878.166666666667,-0.33226976069615666,0.02058
2018,3,USA,X5,7165,69901,500840665,0.022,15.88,2.05,0.98,500840665,2018-03-01,1,69901.0,4604.0,11009.0,12337.0,6221.333333333333,7016.166666666667,0.5562554300608167,0.02156
2018,3,RestOfWorld,iX,8004,75491,604229964,0.015,6.73,3.52,1.02,604229964,2018-03-01,1,75491.0,7165.0,6895.0,3688.0,6591.0,7735.5,0.11709699930216333,0.0153
2018,3,RestOfWorld,MINI,6186,41595,257306670,0.031,6.73,3.52,1.02,257306670,2018-03-01,1,41595.0,8004.0,4604.0,8736.0,7118.333333333333,7310.5,-0.22713643178410792,0.03162
2018,3,RestOfWorld,5 Series,10070,60399,608217930,0.025,6.73,3.52,1.02,608217930,2018-03-01,1,60399.0,6186.0,7165.0,11009.0,8086.666666666667,7154.0,0.62786938247656,0.025500000000000002
2018,3,USA,MINI,8905,41705,371383025,0.013,15.88,2.05,0.98,371383025,2018-03-01,1,41705.0,10070.0,8004.0,6895.0,8387.0,7489.0,-0.1156901688182721,0.01274
2018,3,USA,5 Series,10129,60569,613503401,0.008,15.88,2.05,0.98,613503401,2018-03-01,1,60569.0,8905.0,6186.0,4604.0,9701.333333333334,8409.833333333334,0.13745087029758563,0.00784
2018,3,RestOfWorld,X3,12829,57982,743851078,0.004,6.73,3.52,1.02,743851078,2018-03-01,1,57982.0,10129.0,10070.0,7165.0,10621.0,9353.833333333334,0.26656135847566387,0.00408
2018,4,Europe,X3,9962,57081,568640922,0.007,14.6,3.55,0.96,568640922,2018-04-01,2,57081.0,12829.0,8905.0,8004.0,10973.333333333334,9680.166666666666,-0.22347805752591787,0.00672
2018,4,Europe,X5,10860,70545,766118700,0.0,14.6,3.55,0.96,766118700,2018-04-01,2,70545.0,9962.0,10129.0,6186.0,11217.0,10459.166666666666,0.09014254165830149,0.0
2018,4,Europe,X7,10267,91931,943855577,0.019,14.6,3.55,0.96,943855577,2018-04-01,2,91931.0,10860.0,12829.0,10070.0,10363.0,10492.0,-0.05460405156537751,0.01824
2018,4,Europe,i4,11118,64664,718934352,0.012,14.6,3.55,0.96,718934352,2018-04-01,2,64664.0,10267.0,9962.0,8905.0,10748.333333333334,10860.833333333334,0.08288691925586833,0.011519999999999999
2018,4,Europe,iX,3401,74119,252078719,0.019,14.6,3.55,0.96,252078719,2018-04-01,2,74119.0,11118.0,10860.0,10129.0,8262.0,9739.5,-0.6940996582119086,0.01824
2018,4,China,X3,10098,56996,575545608,0.013,15.96,3.95,1.04,575545608,2018-04-01,2,56996.0,3401.0,10267.0,12829.0,8205.666666666666,9284.333333333334,1.9691267274331081,0.013519999999999999
2018,4,China,X7,11338,91227,1034331726,0.024,15.96,3.95,1.04,1034331726,2018-04-01,2,91227.0,10098.0,11118.0,9962.0,8279.0,9513.666666666666,0.12279659338482873,0.024960000000000003
2018,4,China,5 Series,9028,62294,562390232,0.022,15.96,3.95,1.04,562390232,2018-04-01,2,62294.0,11338.0,3401.0,10860.0,10154.666666666666,9208.333333333334,-0.20373963662021521,0.02288
2018,4,China,X5,9265,69744,646178160,0.007,15.96,3.95,1.04,646178160,2018-04-01,2,69744.0,9028.0,10098.0,10267.0,9877.0,9041.333333333334,0.026251661497563195,0.00728
2018,4,China,i4,8661,65479,567113619,0.028,15.96,3.95,1.04,567113619,2018-04-01,2,65479.0,9265.0,11338.0,11118.0,8984.666666666666,8631.833333333334,-0.06519158121964386,0.02912
2018,4,Europe,3 Series,3207,48914,156867198,0.016,14.6,3.55,0.96,156867198,2018-04-01,2,48914.0,8661.0,9028.0,3401.0,7044.333333333333,8599.5,-0.629719431936266,0.01536
2018,4,China,MINI,6604,42070,277830280,0.019,15.96,3.95,1.04,277830280,2018-04-01,2,42070.0,3207.0,9265.0,10098.0,6157.333333333333,8017.166666666667,1.0592454006859993,0.01976
2018,4,Europe,5 Series,8992,62983,566343136,0.007,14.6,3.55,0.96,566343136,2018-04-01,2,62983.0,6604.0,8661.0,11338.0,6267.666666666667,7626.166666666667,0.3615990308903694,0.00672
2018,4,Europe,MINI,9789,41141,402729249,0.028,14.6,3.55,0.96,402729249,2018-04-01,2,41141.0,8992.0,3207.0,9028.0,8461.666666666666,7753.0,0.08863434163701078,0.02688
2018,4,China,iX,8534,74757,637976238,0.007,15.96,3.95,1.04,637976238,2018-04-01,2,74757.0,9789.0,6604.0,9265.0,9105.0,7631.166666666667,-0.1282051282051282,0.00728
2018,4,China,3 Series,5550,46580,258519000,0.041,15.96,3.95,1.04,258519000,2018-04-01,2,46580.0,8534.0,8992.0,8661.0,7957.666666666667,7112.666666666667,-0.34966018279821887,0.042640000000000004
2018,4,USA,3 Series,4739,46515,220434585,0.052,14.11,2.68,1.02,220434585,2018-04-01,2,46515.0,5550.0,9789.0,3207.0,6274.333333333333,7368.0,-0.14612612612612608,0.05304
2018,4,USA,X5,8866,70746,627234036,0.025,14.11,2.68,1.02,627234036,2018-04-01,2,70746.0,4739.0,8534.0,6604.0,6385.0,7745.0,0.8708588309769993,0.025500000000000002
2018,4,USA,X7,4680,93498,437570640,0.022,14.11,2.68,1.02,437570640,2018-04-01,2,93498.0,8866.0,5550.0,8992.0,6095.0,7026.333333333333,-0.47214076246334313,0.022439999999999998
2018,4,USA,i4,7820,64291,502755620,0.017,14.11,2.68,1.02,502755620,2018-04-01,2,64291.0,4680.0,4739.0,9789.0,7122.0,6698.166666666667,0.670940170940171,0.01734
2018,4,USA,iX,9976,74066,738882416,0.025,14.11,2.68,1.02,738882416,2018-04-01,2,74066.0,7820.0,8866.0,8534.0,7492.0,6938.5,0.27570332480818416,0.025500000000000002
2018,4,USA,MINI,9711,40284,391197924,0.031,14.11,2.68,1.02,391197924,2018-04-01,2,40284.0,9976.0,4680.0,5550.0,9169.0,7632.0,-0.02656375300721736,0.03162
2018,4,RestOfWorld,X5,10798,70465,760881070,0.015,5.64,2.51,1.01,760881070,2018-04-01,2,70465.0,9711.0,7820.0,4739.0,10161.666666666666,8641.833333333334,0.1119349191638348,0.01515
2018,4,RestOfWorld,i4,3440,64571,222124240,0.026,5.64,2.51,1.01,222124240,2018-04-01,2,64571.0,10798.0,9976.0,8866.0,7983.0,7737.5,-0.6814224856454899,0.02626
2018,4,RestOfWorld,5 Series,9659,61649,595467691,0.003,5.64,2.51,1.01,595467691,2018-04-01,2,61649.0,3440.0,9711.0,4680.0,7965.666666666667,8567.333333333334,1.8078488372093022,0.00303
2018,4,RestOfWorld,X7,8063,93760,755986880,0.027,5.64,2.51,1.01,755986880,2018-04-01,2,93760.0,9659.0,10798.0,7820.0,7054.0,8607.833333333334,-0.16523449632467124,0.02727
2018,4,RestOfWorld,iX,7194,75710,544657740,0.025,5.64,2.51,1.01,544657740,2018-04-01,2,75710.0,8063.0,3440.0,9976.0,8305.333333333334,8144.166666666667,-0.10777626193724421,0.02525
2018,4,USA,5 Series,5072,60335,306019120,0.021,14.11,2.68,1.02,306019120,2018-04-01,2,60335.0,7194.0,9659.0,9711.0,6776.333333333333,7371.0,-0.294968028912983,0.02142
2018,4,RestOfWorld,3 Series,2771,46825,129752075,0.02,5.64,2.51,1.01,129752075,2018-04-01,2,46825.0,5072.0,8063.0,10798.0,5012.333333333333,6033.166666666667,-0.4536671924290221,0.0202
2018,4,USA,X3,7959,57931,461072829,0.032,14.11,2.68,1.02,461072829,2018-04-01,2,57931.0,2771.0,7194.0,3440.0,5267.333333333333,6786.333333333333,1.8722482858173946,0.03264
2018,4,RestOfWorld,MINI,9364,43807,410208748,0.005,5.64,2.51,1.01,410208748,2018-04-01,2,43807.0,7959.0,5072.0,9659.0,6698.0,6737.166666666667,0.17652971478829005,0.00505
2018,4,RestOfWorld,X3,2766,59068,163382088,0.019,5.64,2.51,1.01,163382088,2018-04-01,2,59068.0,9364.0,2771.0,8063.0,6696.333333333333,5854.333333333333,-0.7046134130713371,0.01919
2018,5,China,MINI,4094,42492,173962248,0.034,18.94,3.32,1.05,173962248,2018-05-01,2,42492.0,2766.0,7959.0,7194.0,5408.0,5337.666666666667,0.4801156905278381,0.0357
2018,5,Europe,X5,7073,70577,499191121,0.019,19.26,2.78,1.03,499191121,2018-05-01,2,70577.0,4094.0,9364.0,5072.0,4644.333333333333,5671.166666666667,0.7276502198339032,0.01957
2018,5,China,i4,9494,63216,600172704,0.015,18.94,3.32,1.05,600172704,2018-05-01,2,63216.0,7073.0,2766.0,2771.0,6887.0,6791.666666666667,0.3422875724586456,0.01575
2018,5,China,iX,3632,76486,277797152,0.013,18.94,3.32,1.05,277797152,2018-05-01,2,76486.0,9494.0,4094.0,7959.0,6733.0,6070.5,-0.6174425953233621,0.01365
2018,5,Europe,3 Series,5143,47365,243598195,0.033,19.26,2.78,1.03,243598195,2018-05-01,2,47365.0,3632.0,7073.0,9364.0,6089.666666666667,5367.0,0.4160242290748899,0.03399
2018,5,Europe,X3,9201,59455,547045455,0.023,19.26,2.78,1.03,547045455,2018-05-01,2,59455.0,5143.0,9494.0,2766.0,5992.0,6439.5,0.7890336379545013,0.02369
2018,5,Europe,X7,7586,91492,694058312,0.031,19.26,2.78,1.03,694058312,2018-05-01,2,91492.0,9201.0,3632.0,4094.0,7310.0,7021.5,-0.1755243995217911,0.03193
2018,5,Europe,MINI,6867,41156,282618252,0.02,19.26,2.78,1.03,282618252,2018-05-01,2,41156.0,7586.0,5143.0,7073.0,7884.666666666667,6987.166666666667,-0.09477985763248087,0.0206
2018,5,China,3 Series,6978,48539,338705142,0.024,18.94,3.32,1.05,338705142,2018-05-01,2,48539.0,6867.0,9201.0,9494.0,7143.666666666667,6567.833333333333,0.016164263870685813,0.0252
2018,5,China,5 Series,9078,63324,574855272,0.014,18.94,3.32,1.05,574855272,2018-05-01,2,63324.0,6978.0,7586.0,3632.0,7641.0,7475.5,0.3009458297506449,0.014700000000000001
2018,5,China,X3,3839,57416,220420024,0.006,18.94,3.32,1.05,220420024,2018-05-01,2,57416.0,9078.0,6867.0,5143.0,6631.666666666667,7258.166666666667,-0.5771094954835867,0.0063
2018,5,China,X5,8966,69681,624759846,0.016,18.94,3.32,1.05,624759846,2018-05-01,2,69681.0,3839.0,6978.0,9201.0,7294.333333333333,7219.0,1.335504037509768,0.016800000000000002
2018,5,China,X7,11313,90510,1023939630,0.032,18.94,3.32,1.05,1023939630,2018-05-01,2,90510.0,8966.0,9078.0,7586.0,8039.333333333333,7840.166666666667,0.2617666741021638,0.033600000000000005
